"id","name","timestamp","day_of_call","hour_of_day","wait_time","issue_categories","resolution_status"
"b2c1fe31-250c-46bb-b962-bb7dfcfcfb90","Anthony Malone","2026-02-18 13:30:18.185561","Wednesday",13,41,"Service",1
"89f8e600-cc13-4fc5-8386-128ee55b2c40","Linda Curtis","2026-02-11 02:31:59.081993","Wednesday",2,10,"Technical",1
"4ebfa8b8-fa48-4787-819e-8ac9976346c6","Mr. Thomas Thomas","2026-01-02 03:24:39.835186","Friday",3,17,"Billing",1
"2e3b5196-ae64-4310-88c5-d9a199915a3e","Jack Taylor","2026-01-18 01:24:38.520171","Sunday",1,14,"Technical",0
"c80907b7-558d-499c-ba4f-c01cdb363bdc","Jennifer Thompson","2026-05-13 22:30:18.958121","Wednesday",22,7,"Technical",0
"86c6a964-17d4-46e8-85d2-6e0f5317730d","Kelly Mejia","2026-03-07 12:37:01.535532","Saturday",12,15,"Service",1
"576f4442-9238-44d8-9069-3cefcc4aaf7b","Christopher Perry","2026-04-30 11:07:43.366331","Thursday",11,34,"Billing",1
"a3638f21-299e-4542-bf94-4e3f794b1188","Joseph Smith","2026-03-26 17:45:50.997187","Thursday",17,11,"Account",0
"9aef98fb-83ae-43db-922a-a71efc7bed53","Bradley Kane","2026-04-16 11:28:37.071681","Thursday",11,42,"Technical",0
"ecf85e5a-fca6-47f7-adb7-646af2652418","Melissa Griffin","2026-01-22 09:16:44.805272","Thursday",9,13,"Account",1
"41ed56f5-1961-42ca-812f-cf678af556dc","Ryan Patrick","2026-03-14 01:52:07.683655","Saturday",1,13,"Billing",0
"219a5de5-fe1b-45a6-b3b5-632e537c9afe","Tiffany Molina","2026-01-07 16:57:34.277756","Wednesday",16,15,"Technical",1
"5170f452-1afe-4cf3-96fc-5651e9bb82be","David Mccoy","2026-04-19 22:18:05.549497","Sunday",22,6,"Billing",0
"61d31d3f-d7f0-40e9-81fc-b6aeda143124","Lauren Bradley","2026-03-29 14:25:11.073381","Sunday",14,25,"Billing",0
"72698f3b-f632-43e5-aa30-e98fb93cc24d","Olivia Olson","2026-05-03 08:47:43.101922","Sunday",8,5,"Account",0
"1440051a-7d57-42f2-bded-2a6a2d3777c9","Jennifer Bridges","2026-02-08 10:10:22.135296","Sunday",10,33,"Technical",0
"b0c28add-c31e-4f44-9412-3fad879c18c0","Katherine Donaldson","2026-05-01 21:21:12.718082","Friday",21,17,"Service",0
"4b1b1934-3d32-4a25-b659-e91a4b20a66f","Donald Berry","2026-04-10 19:57:06.974742","Friday",19,18,"Technical",0
"681ad7e7-6bde-46b2-87d0-2b6997fe870c","David Miller","2026-01-25 23:50:35.665039","Sunday",23,8,"Technical",1
"1a0d0035-c2ac-498e-aaf8-1da4a365b4a8","Christian Li","2026-03-03 02:36:40.149167","Tuesday",2,12,"Account",1
"65006cd1-9397-42a9-9167-04ded31eb248","Arthur Daniel","2026-03-19 10:44:41.129274","Thursday",10,23,"Billing",1
"7df4e4d4-4268-41ac-8ab2-e86c5e4a68ce","Jacob Thompson","2026-03-25 13:23:27.167663","Wednesday",13,38,"Billing",0
"e1fd506b-5137-4223-9daf-c9702bfbd5b8","Gregory Carter","2026-01-25 10:55:35.228014","Sunday",10,31,"Service",0
"2d7bcdfc-e49a-4ece-866b-bd5943bdf76c","John Wallace","2026-02-13 07:45:13.541041","Friday",7,18,"Billing",1
"c2ed0c3a-142c-47c5-af74-7d8dbb5aef25","Robert Smith","2026-04-19 07:44:53.360704","Sunday",7,10,"Account",1
"494c04d8-07f9-4975-b7a3-078b4fc71ee0","Maria Warren","2026-02-19 15:14:55.655713","Thursday",15,10,"Technical",0
"879f73c3-29ff-41b6-925f-0f769b04b0d8","Robert Anderson","2026-03-31 01:06:52.359529","Tuesday",1,9,"Service",0
"e8a46f05-2b17-4465-adf5-d20c74e9e3f7","Lisa Rhodes","2026-04-10 05:55:06.033440","Friday",5,11,"Service",1
"2050b9ad-42a2-4382-ba6e-ac5dd1820f83","Ryan Smith","2026-05-14 12:25:53.113257","Thursday",12,26,"Account",0
"e48dd72c-7cd5-4adb-a7d0-8eef15de177f","Cynthia Foster","2026-03-12 12:58:17.072302","Thursday",12,19,"Service",0
"bc479516-a012-4438-852a-937f2151fee6","Audrey Shelton","2026-05-13 14:29:04.882092","Wednesday",14,11,"Account",1
"88a0bc93-d027-4a59-a156-a7731992ffee","Gina Williamson","2026-01-16 09:34:47.933813","Friday",9,54,"Technical",1
