id,name,timestamp,day_of_call,hour_of_day,wait_time,issue_category,resolution_status
0bae5c46-dacf-4b53-b794-e2e0a826d73f,Anna Miller,2026-01-01 13:51:20.055790,Thursday,13,20,Account,True
eaa84957-63dd-4ec2-89f6-9ad781038c79,John Hogan,2026-04-09 06:37:18.611238,Thursday,6,4,Billing,True
a36f36cd-7334-42e5-b7c1-d0a2d39cf813,Jacob Davidson,2026-01-12 01:19:35.115973,Monday,1,24,Account,False
983dde1e-9598-417e-bf03-cdd107091d82,Belinda Aguirre,2026-05-10 16:59:09.774630,Sunday,16,26,Service,True
2c547454-c014-495e-a411-4fe0e9300d5b,Patricia Hickman,2026-03-01 02:25:09.924321,Sunday,2,7,Billing,True
d3a78945-a50b-4098-8566-327d93515c55,Randall Villanueva,2026-02-21 08:47:26.908558,Saturday,8,7,Account,False
dda0da85-d352-4389-90e4-38ae711d19b7,Mr. Eric Jackson,2026-03-22 09:30:14.016383,Sunday,9,19,Billing,True
07d59eee-f7b9-4a59-ba5a-b06768be0228,Kenneth Hall,2026-04-04 13:09:30.656467,Saturday,13,14,Technical,True
68400b94-b7e4-4be9-847c-2a3d6f18b6a8,Jessica Murray,2026-03-01 14:37:57.442688,Sunday,14,32,Technical,False
546e40f1-638f-41b2-8378-eff11022235e,Matthew Osborne,2026-01-30 03:48:50.185548,Friday,3,17,Service,True
152738be-3d20-4462-9d8a-d4da7e661d57,Paula Wyatt,2026-02-10 22:40:31.128335,Tuesday,22,6,Billing,False
8109c81b-8fc2-4641-9b8d-0702fcc7c830,Derek Pham,2026-04-07 18:16:25.835767,Tuesday,18,4,Account,True
98c2aec8-ae7a-42db-bc4c-737dee3afd43,Terry Wright,2026-05-01 07:33:52.476810,Friday,7,27,Account,True
6b1ced1e-4625-4d98-b838-267c097e2e10,Hayden Higgins,2026-01-02 14:13:03.149252,Friday,14,32,Service,False
3a524166-1f02-4b4d-9f0a-34278f4835b7,Tyler Collins,2026-03-23 05:15:06.145811,Monday,5,18,Service,True
8f3d58ae-1130-4d87-b874-fb6502ed45b9,Mark Ware,2026-03-14 06:05:11.931287,Saturday,6,7,Account,True
b705dc93-7812-458a-a956-0bf4122cba63,Kimberly Richardson,2026-02-20 00:36:15.798797,Friday,0,23,Billing,True
54299423-120e-4caa-8e3a-726ea831fad3,Daniel Moore,2026-04-02 02:27:39.350073,Thursday,2,13,Account,False
bfd20418-1a60-4235-bfa1-ff8f6a4ddb42,Jeffery Schmidt,2026-04-17 01:56:51.905864,Friday,1,18,Account,True
1f5aa6ef-49dc-44e3-af28-a8768245e886,Jennifer Watkins,2026-01-12 23:11:18.104975,Monday,23,17,Service,False
a448bb5a-0494-4e2c-adab-c12fab4f8a5d,Kara Carter,2026-03-11 16:13:50.211686,Wednesday,16,14,Billing,False
70a25431-7bd1-49a9-864a-140e8269bc28,Brittany Neal,2026-02-23 12:00:10.110577,Monday,12,43,Billing,False
8a9a930a-5239-4491-b0fb-c5846d9d1d70,Jasmine Navarro DVM,2026-01-25 17:16:40.821727,Sunday,17,13,Technical,False
0800dd9f-f6d7-439e-bdf3-4b76f06731b3,Kristina Klein,2026-04-02 13:26:22.703603,Thursday,13,11,Technical,True
6e2b1af9-96e7-4efe-b17a-2542c531d085,Laura Cohen MD,2026-03-01 09:00:56.785501,Sunday,9,16,Technical,True
72df1b18-e43f-4ade-9e79-5b5fba9c1937,Thomas Cunningham,2026-05-17 19:04:08.962078,Sunday,19,2,Service,False
4c63537d-cb53-4acd-8d7e-9b295527c140,Jennifer Thompson,2026-02-22 03:34:15.020339,Sunday,3,6,Billing,False
